id,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
49,16500000,1635,AECS layout,3,0,1,1,1,1,1,1,0,1,1,0,0,0,1
50,11399999,1550,AECS layout,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
51,13500000,1500,AECS layout,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
52,22500000,1850,AECS layout,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
53,40000000,2100,AECS layout,4,0,1,1,1,1,1,1,1,1,0,0,0,0,1
54,5700000,610,AECS layout,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
55,4800000,655,AECS layout,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
56,4500000,660,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
57,4300000,650,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
58,4500000,680,AECS layout,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
59,5300000,670,AECS layout,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
60,4803000,655,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
61,13000000,1800,AECS layout,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
62,15500000,1645,AECS layout,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
63,13000000,1395,AECS layout,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
64,8500000,1150,AECS layout,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
65,9400000,1200,AECS layout,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1
66,4500000,615,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
67,5300000,670,AECS layout,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
68,6000000,765,AECS layout,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
69,5600000,650,AECS layout,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
70,17500000,1760,AECS layout,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
71,12000000,1415,AECS layout,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
72,15000000,1685,AECS layout,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
73,13000000,1800,AECS layout,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
74,16600000,1650,AECS layout,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
75,13000000,1395,AECS layout,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
76,9400000,1200,AECS layout,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
77,5700000,650,AECS layout,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0
78,5500000,560,AECS layout,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
79,6000000,765,AECS layout,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
80,5600000,650,AECS layout,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
81,4900000,655,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
82,13500000,1390,AECS layout,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
83,22000000,1590,AECS layout,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
84,17500000,1760,AECS layout,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1
85,17800000,1716,AECS layout,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
86,14000000,1680,AECS layout,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
87,7200000,1050,AECS layout,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
88,7000000,1100,AECS layout,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0
89,15000000,1635,AECS layout,3,0,1,1,1,1,1,1,0,1,1,0,1,0,1
90,10000000,1078,AECS layout,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
91,17500000,1760,AECS layout,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1
92,11000000,1415,AECS layout,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
93,13000000,1800,AECS layout,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
94,12500000,1147,AECS layout,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
95,13000000,1197,AECS layout,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1
96,15000000,1300,AECS layout,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1
97,7500000,1050,AECS layout,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0
98,9500000,1240,AECS layout,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1
99,5500000,650,AECS layout,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
100,5000000,600,Sector 20 AECS layout,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0
101,5000000,550,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
102,5500000,550,AECS layout,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
103,4200000,650,AECS layout,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
104,4200000,646,AECS layout,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
105,6000000,740,AECS layout,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
106,5000000,570,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
107,5500000,670,AECS layout,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
108,4300000,640,AECS layout,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
109,15500000,1700,AECS layout,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
110,11399999,1550,AECS layout,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
111,12000000,1530,AECS layout,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
112,16000000,1750,AECS layout,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0
113,22000000,1590,AECS layout,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1
114,11000000,1415,AECS layout,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
115,16600000,1650,AECS layout,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
116,14000000,1687,AECS layout,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
117,8500000,1150,AECS layout,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1
118,6000000,555,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
119,4900000,600,AECS layout,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
120,4200000,646,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
121,4500000,650,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
122,4300000,640,AECS layout,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
123,5500000,650,AECS layout,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
124,13500000,1400,AECS layout,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
125,15000000,1780,AECS layout,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
126,14000000,1687,AECS layout,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
127,6900000,1100,AECS layout,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
128,8300000,1050,AECS layout,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
129,9000000,1160,AECS layout,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
130,5100000,700,AECS layout,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
131,5200000,625,AECS layout,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
132,5500000,670,AECS layout,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1
133,5500000,550,AECS layout,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
134,5400000,650,AECS layout,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
135,5300000,660,AECS layout,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
136,5500000,550,AECS layout,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
137,5000000,570,AECS layout,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
138,14000000,1550,AECS layout,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
139,17100000,1760,AECS layout,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
140,11800000,1475,AECS layout,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
141,6000000,759,AECS layout,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
142,4850000,600,AECS layout,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
143,4500000,550,AECS layout,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
144,4100000,620,AECS layout,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1
145,5000000,550,AECS layout,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
146,5500000,745,AECS layout,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0
147,4500000,580,AECS layout,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
148,5300000,670,AECS layout,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
149,19000000,1845,AECS layout,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
150,13500000,1400,AECS layout,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
151,13600000,1680,AECS layout,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
152,15500000,1645,AECS layout,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
153,16500000,1585,AECS layout,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
154,8600000,1350,AECS layout,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
155,10000000,1075,AECS layout,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
156,10500000,1155,AECS layout,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
157,4700000,625,AECS layout,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
158,6200000,720,AECS layout,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
159,4500000,550,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
160,6900000,735,AECS layout,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
161,4500000,580,AECS layout,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
162,10000000,1505,AECS layout,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
163,13000000,1630,AECS layout,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
164,11000000,1550,AECS layout,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
166,10500000,1098,AECS layout,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
168,9500000,1000,AECS layout,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
169,4500000,550,AECS layout,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
170,13000000,1630,AECS layout,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
171,13600000,1680,AECS layout,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
172,16200000,1650,AECS layout,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
173,15000000,1440,AECS layout,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
174,13200000,1370,AECS layout,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
176,9500000,1000,AECS layout,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1
177,15000000,1760,AECS layout,3,0,1,1,1,0,1,1,1,0,0,0,0,1,1
178,7500000,1100,AECS layout,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1
179,13000000,1550,Sector 20 AECS layout,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1
180,16200000,1675,AECS layout,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1
181,11000000,1060,AECS layout,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
182,11600000,1150,AECS layout,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1
183,5600000,670,AECS layout,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1
184,8000000,900,AECS layout,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
185,9500000,1088,AECS layout,2,0,1,1,1,1,1,1,0,1,1,0,0,1,0
186,2018000,375,HSR Layout,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
189,16500000,750,Ganga Nagar,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
190,2375000,525,Kalyan East,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1
191,19500000,1200,Peenya Stage 2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2000000,420,Benson Town East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2500000,540,Benson Town East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2250000,415,Benson Town East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2700000,650,Benson Town,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196,22000000,1100,Domlur,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
197,17000000,1105,HRBR Layout,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
198,43500000,2600,Peenya Stage 2,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
199,4760000,700,Jaynagar,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
200,18100000,1296,Peenya Stage 1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
201,23800000,1638,Peenya Stage 1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
202,21200000,1465,Peenya Stage 1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
203,8600000,700,HRBR Layout,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
204,36500000,2030,Peenya Stage 1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
205,23700000,1450,Domlur,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1
206,21400000,1100,Domlur,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
207,12500000,800,Jaymahal,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
208,18000000,1500,Jaymahal,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
209,13200000,1100,Jaymahal,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
210,35300000,1962,Jaymahal,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
211,15300000,950,HRBR Layout,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
212,25000000,1440,Jaymahal,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
213,13899999,1200,Jaymahal,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
214,33500000,1785,Yelahanka,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
215,14500000,775,Peenya Stage 1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
216,9000000,765,Jaymahal,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
217,13500000,910,Peenya Stage 1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
218,9000000,640,Peenya Stage 1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
219,21600000,1264,Peenya Stage 2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
220,13700000,1056,Jaymahal,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
221,27799999,1810,Hebbal,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
222,27900000,1656,Peenya Stage 1,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
223,81600000,3888,Peenya Stage 1,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1
224,38600000,2030,Yelahanka,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
225,17000000,1114,Peenya Stage 3,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1
226,60100000,3585,Peenya Stage 1,4,1,1,1,1,1,1,0,1,1,1,1,0,1,1
227,27900000,1404,Kormangla,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
228,31500000,1620,Kormangla,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
229,37500000,2780,Peenya Stage 2,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1
230,31000000,1672,Peenya Stage 2,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
231,21100000,1200,Peenya Stage 2,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
232,16500000,1200,Peenya Stage 2,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1
233,16000000,1250,HRBR Layout,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
234,26000000,1840,HRBR Layout,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
235,15200000,1170,Domlur,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
236,2300000,310,AECS layout,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
237,33000000,1245,Millers Road,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
238,29000000,1153,Millers Road,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
239,11200000,573,RT Nagar,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1
240,9000000,1100,RT Nagar,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
241,8500000,1135,RT Nagar,2,0,1,1,1,0,1,1,1,1,0,1,0,1,1
242,9000000,1060,AECS layout,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
243,11500000,560,Domlur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,12100000,1150,BEML Layout,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1
246,27000000,1695,Goregaon,3,1,1,1,1,0,1,1,1,1,0,1,0,1,1
247,21600000,1579,Goregaon,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1
248,30200000,2153,Goregaon,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
249,41200000,1872,Goregaon,4,1,1,1,1,0,1,1,1,1,1,0,0,1,1
250,30500000,1717,Goregaon,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1
251,36700000,1675,Kormangla,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1
252,23800000,1672,Peenya Stage 2,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
253,20500000,1457,Peenya Stage 2,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1
254,5500000,425,Bellary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,32500000,1200,Santacruz West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,8500000,575,Basavangudi,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1
258,9000000,400,HRBR Layout,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,2500000,300,Hebbal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
262,27500000,1600,Peenya Stage 2,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
264,35900000,1320,Sultan Parlya,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
266,33100000,1320,Sultan Parlya,2,0,0,1,1,0,1,0,0,0,1,0,0,0,1
267,106000000,2826,Worli,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1
271,11000000,600,Domlur,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
274,33000000,1400,VV Puram East,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0
278,3000000,545,KR Market,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
283,16000000,900,Kormangla,2,0,0,1,1,1,1,1,0,1,0,0,0,0,0
286,6400000,1550,KanankaNagar,3,0,1,1,1,0,0,0,0,1,0,0,0,0,1
287,90000000,5245,BTM Layout,5,1,1,1,1,0,0,1,1,1,1,1,1,1,1
289,3600000,530,Sector 20 AECS layout,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
292,9200000,1150,Sector 17 RT Nagar,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
293,5300000,690,Sector 17 RT Nagar,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
295,9500000,1260,Sector 19 AECS layout,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
300,7200000,1055,Sector 19 AECS layout,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
310,11000000,1230,Sector 17 RT Nagar,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
311,4500000,599,Sector 17 RT Nagar,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
314,16800000,1665,Sector 17 RT Nagar,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
315,16299999,1640,Sector 17 RT Nagar,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0
316,15500000,1650,Sector 17 RT Nagar,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0
317,4900000,980,KanankaNagar,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
319,4800000,1020,KanankaNagar,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
320,6200000,1075,Benson Town West,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
321,33700000,1600,VV Puram,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
323,10700000,715,VV Puram,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
324,15000000,1016,VV Puram,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
325,18500000,1000,VV Puram,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
326,17600000,1100,VV Puram,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
336,5000000,650,Sector-18 RT Nagar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
341,19600000,1250,VV Puram,2,1,0,1,1,1,1,0,1,1,1,0,0,1,0
343,21500000,1200,VV Puram,2,1,1,1,1,0,1,1,1,0,1,1,0,1,1
344,11000000,780,Kurla,2,1,1,0,1,0,0,1,0,0,1,0,0,0,0
347,22000000,1650,AECS layout,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
348,14500000,1360,AECS layout,2,0,1,1,1,0,1,1,1,0,0,0,0,1,1
349,25000000,1600,Hebbal,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1
350,11500000,1250,AECS layout,2,0,1,1,1,0,1,1,1,0,1,0,1,1,1
351,4000000,750,KanankaNagar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
352,2500000,450,KanankaNagar,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
353,2300000,410,KanankaNagar,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
355,5700000,516,Thane,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
362,2400000,690,Ambernath West,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1
367,4000000,620,Kempapura,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
368,6400000,980,Kempapura,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
369,6900000,950,Kempapura,2,0,1,1,1,1,1,0,1,0,0,0,0,0,1
370,7500000,890,Sector 17 RT Nagar,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
371,5425000,619,Kempapura,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
372,5700000,710,Kempapura,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
373,7100000,887,Kempapura,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
374,7800000,1005,Kempapura,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
375,5900000,950,Kempapura,2,0,1,1,1,1,1,0,1,0,0,0,0,0,0
377,5500000,650,Sector 17 RT Nagar,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
378,5000000,650,Kempapura,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
